Beneficiary_ID,Name,Gender,Age,State,District,Category,Income_Level,Scheme_Availed,Benefit_Amount,Year
BEN00001,Vansha Walia,Male,48,Uttar Pradesh,Patna,ST,187541,SCH296,31104,2016
BEN00002,Faris Kari,Female,48,Rajasthan,Ghaziabad,SC,244198,SCH165,14996,2015
BEN00003,Advika Vohra,Female,51,Maharashtra,Jamnagar,SC,176679,SCH911,45819,2018
BEN00004,Rajeshri Rastogi,Male,63,Karnataka,Serampore,General,299448,SCH399,23987,2024
BEN00005,Krishna Rout,Male,57,West Bengal,Bharatpur,General,450778,SCH896,27568,2015
BEN00006,Patrick Khalsa,Male,40,Tamil Nadu,Loni,ST,171810,SCH889,21609,2022
BEN00007,Ekta Date,Male,28,Uttar Pradesh,Coimbatore,General,232057,SCH716,4417,2019
BEN00008,Pushti Mitra,Female,64,Uttar Pradesh,Purnia,SC,298772,SCH033,22427,2017
BEN00009,Faris Atwal,Female,49,Rajasthan,Ozhukarai,ST,155294,SCH235,49405,2023
BEN00010,Xalak Butala,Male,37,Uttar Pradesh,Chittoor,General,168763,SCH532,18878,2024
BEN00011,Darpan Sibal,Female,58,Uttar Pradesh,Rewa,ST,490299,SCH360,21618,2023
BEN00012,Vasana Chakraborty,Female,27,Uttar Pradesh,Saharsa,SC,402963,SCH890,49605,2018
BEN00013,Warjas Saraf,Male,76,Maharashtra,Muzaffarpur,General,131250,SCH829,31368,2020
BEN00014,Eiravati Pall,Female,32,Tamil Nadu,Silchar,General,414995,SCH994,29173,2017
BEN00015,Nidra Kannan,Male,59,Delhi,Imphal,ST,249630,SCH498,4239,2021
BEN00016,Ekalinga Merchant,Male,19,Maharashtra,Korba,ST,415560,SCH531,3318,2016
BEN00017,Wriddhish Rana,Male,28,West Bengal,Tenali,SC,479449,SCH233,21791,2015
BEN00018,Zansi Vala,Female,80,Delhi,Bilaspur,General,460884,SCH246,26107,2015
BEN00019,Janaki Ramanathan,Male,41,Andhra Pradesh,Serampore,SC,93673,SCH041,46952,2017
BEN00020,Finn Parsa,Male,19,Rajasthan,Shivpuri,SC,258301,SCH404,43670,2018
BEN00021,Ekalinga Desai,Male,77,Tamil Nadu,Shimla,OBC,456324,SCH889,44799,2017
BEN00022,Victor Rai,Male,28,Maharashtra,Jaipur,OBC,443469,SCH973,49567,2021
BEN00023,Urvi Sastry,Female,29,Rajasthan,Pallavaram,ST,297150,SCH977,48717,2018
BEN00024,Kevin Singh,Male,37,Bihar,Junagadh,General,463322,SCH202,46591,2019
BEN00025,Gauri Bera,Male,26,Maharashtra,Gaya,General,276394,SCH430,7304,2015
BEN00026,Idika Buch,Male,65,Tamil Nadu,Bally,OBC,252677,SCH250,23057,2015
BEN00027,Victor Vora,Female,66,Bihar,Amravati,ST,295389,SCH985,39364,2021
BEN00028,Chasmum Mistry,Female,71,Uttar Pradesh,Sikar,SC,90694,SCH770,13659,2022
BEN00029,Chanakya Master,Female,56,Andhra Pradesh,Nanded,General,356516,SCH801,23180,2023
BEN00030,Adya Balasubramanian,Male,23,Rajasthan,Aurangabad,OBC,389246,SCH576,48023,2017
BEN00031,Niharika Narang,Female,55,Karnataka,Moradabad,SC,90622,SCH041,40968,2023
BEN00032,Brinda Bajwa,Male,27,Andhra Pradesh,Erode,General,117760,SCH361,39386,2024
BEN00033,Lipika Chaudhary,Female,73,Maharashtra,Mau,General,191932,SCH260,24733,2020
BEN00034,Anika Borah,Male,68,Rajasthan,Pali,General,363266,SCH279,20439,2017
BEN00035,Kavya Balan,Female,37,Karnataka,Siliguri,General,420193,SCH197,47803,2023
BEN00036,Abhiram Behl,Female,75,Tamil Nadu,Sirsa,General,377468,SCH024,25758,2024
BEN00037,Nirja Bhavsar,Female,43,Karnataka,Mango,ST,385300,SCH966,17938,2022
BEN00038,Brinda Sarma,Female,43,West Bengal,Kalyan-Dombivli,ST,248275,SCH513,41439,2017
BEN00039,Nachiket Kashyap,Male,45,Rajasthan,Ahmednagar,ST,330245,SCH930,47314,2022
BEN00040,Jasmit Rana,Female,41,Tamil Nadu,Orai,OBC,233877,SCH596,49073,2017
BEN00041,Omya Sachar,Male,54,Maharashtra,Eluru,General,81322,SCH345,17819,2025
BEN00042,Baghyawati Divan,Female,31,Delhi,Amroha,OBC,221347,SCH878,22109,2023
BEN00043,Falan Grover,Female,61,Andhra Pradesh,Dindigul,OBC,175685,SCH725,11764,2023
BEN00044,Logan Prasad,Male,71,Uttar Pradesh,Darbhanga,General,130418,SCH786,32804,2020
BEN00045,Yauvani Halder,Female,78,Karnataka,Baranagar,SC,495833,SCH935,29485,2018
BEN00046,Bhanumati Mander,Male,60,Bihar,Mysore,General,480039,SCH664,22765,2021
BEN00047,Osha Bava,Male,72,Andhra Pradesh,Morbi,OBC,275326,SCH819,48454,2025
BEN00048,Mohini Babu,Male,53,Bihar,Pune,General,301838,SCH241,7503,2018
BEN00049,Rayaan Sami,Female,25,Rajasthan,Naihati,OBC,386976,SCH175,43684,2016
BEN00050,Naveen Srivastava,Male,45,Karnataka,Buxar,ST,101529,SCH797,35763,2015
BEN00051,Ikshita Vohra,Female,64,Delhi,Jamnagar,General,494861,SCH124,14940,2021
BEN00052,Pallavi Palan,Female,54,West Bengal,Nandyal,ST,139425,SCH428,15564,2017
BEN00053,Sara Hegde,Female,27,Maharashtra,Kozhikode,General,399409,SCH665,15410,2015
BEN00054,Pavani Rajagopalan,Female,59,Bihar,Agra,SC,70164,SCH538,36215,2022
BEN00055,Charan Gaba,Male,57,West Bengal,Jorhat,SC,87824,SCH063,744,2024
BEN00056,Nisha Shetty,Female,80,Tamil Nadu,Vijayawada,OBC,128518,SCH640,24079,2021
BEN00057,Jack Borra,Male,61,Tamil Nadu,Orai,ST,394799,SCH342,15747,2020
BEN00058,Yamini Ramakrishnan,Female,25,Maharashtra,Bhatpara,General,391194,SCH124,17328,2024
BEN00059,Alexander Gupta,Male,54,Uttar Pradesh,Bareilly,SC,130748,SCH441,19184,2018
BEN00060,Joshua Brahmbhatt,Female,55,Bihar,Jalgaon,OBC,59731,SCH255,38043,2016
BEN00061,Devika Raja,Female,24,West Bengal,Jehanabad,SC,242216,SCH292,11344,2023
BEN00062,Indali Bhavsar,Female,19,West Bengal,Alwar,ST,154699,SCH766,14598,2018
BEN00063,Charan Prasad,Female,43,Karnataka,Bhagalpur,SC,286906,SCH049,4551,2017
BEN00064,Gaurav Mammen,Female,23,Tamil Nadu,Bhind,SC,234677,SCH158,28323,2021
BEN00065,Kashish Sundaram,Female,18,Karnataka,Pune,SC,322897,SCH680,38961,2024
BEN00066,Yagnesh Panchal,Female,51,West Bengal,Miryalaguda,ST,316885,SCH556,36443,2018
BEN00067,Dhruv De,Female,54,Uttar Pradesh,Akola,SC,280253,SCH919,38663,2022
BEN00068,Meera Mohanty,Female,44,Rajasthan,Mangalore,ST,288005,SCH839,7989,2022
BEN00069,Ekaraj Magar,Male,63,Uttar Pradesh,Etawah,General,284761,SCH588,33868,2024
BEN00070,Jagat Chana,Male,33,West Bengal,Udupi,General,398076,SCH801,15422,2020
BEN00071,Amol Sem,Female,51,Andhra Pradesh,Nashik,OBC,234904,SCH429,47657,2018
